"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Maps/EscapeDoor/ModdedMAT.ModdedMAT","0","0","12","1","0.000000","0","0"
"/Game/Maps/Power/ModdedPower_MAT.ModdedPower_MAT","0","0","12","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_TV.M_TV","0","0","21","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/LevelObjects/Keycard_MAT.Keycard_MAT","0","0","12","1","0.000000","0","0"
"/Game/Oddball/OddballLight_MAT.OddballLight_MAT","0","0","12","1","0.000000","0","0"
"/Game/Oddball/Oddball_MAT.Oddball_MAT","0","0","12","1","0.000000","0","0"
"/Game/Plunderer/CupJewel_MAT.CupJewel_MAT","0","0","28","1","0.000000","0","0"
"/Game/Throwables/Flare/Flare_MAT.Flare_MAT","0","0","12","1","0.000000","0","0"
"/Game/Flashbang/FlashbangTransparent_MAT.FlashbangTransparent_MAT","0","0","28","1","0.000000","0","0"
"/Game/Flashbang/FlashbangInside_MAT.FlashbangInside_MAT","0","0","12","1","0.000000","0","0"
"/Game/Flashbang/FlashbangGreen_MAT.FlashbangGreen_MAT","0","0","18","1","0.000000","0","0"
"/Game/Throwables/Molotov/MolotovPaper.MolotovPaper","0","0","35","1","0.000000","0","0"
"/Game/Throwables/Molotov/MolotovGlass.MolotovGlass","0","0","28","1","0.000000","0","0"
"/Game/Noisemaker/NoisemakerSpeaker_MAT.NoisemakerSpeaker_MAT","0","0","12","1","0.000000","0","0"
"/Game/Noisemaker/NoisemakerBase_MAT.NoisemakerBase_MAT","0","0","12","1","0.000000","0","0"
"/Game/Noisemaker/NoisemakerNoLight_MAT.NoisemakerNoLight_MAT","0","0","12","1","0.000000","0","0"
"/Game/Throwables/SmokeGrenade/SmokeGrenadeGreen.SmokeGrenadeGreen","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_StunGrenade_subUV.M_explosion_StunGrenade_subUV","0","0","24","1","0.000000","0","0"
"/Game/Throwables/StunGrenade/StunGrenadeBlue_MAT.StunGrenadeBlue_MAT","0","0","12","1","0.000000","0","0"
"/Game/Throwables/StunGrenade/StunGrenadeBlack_MAT.StunGrenadeBlack_MAT","0","0","12","1","0.000000","0","0"
